Item1,Item2,Item3
loca burguer,coca cola ks 290ml,bolinho acostelado
bolinho acostelado,ceviche classico,aperol spritz
bolinho acostelado,ceviche classico,chicken fingers
bolinho acostelado,ceviche classico,sangria hp
bolinho acostelado,ceviche classico,loca burguer
bolinho acostelado,ceviche classico,linguiça na cachaça
bolinho acostelado,aperol spritz,chicken fingers
bolinho acostelado,aperol spritz,sangria hp
bolinho acostelado,aperol spritz,loca burguer
bolinho acostelado,aperol spritz,linguiça na cachaça
bolinho acostelado,chicken fingers,sangria hp
bolinho acostelado,chicken fingers,loca burguer
bolinho acostelado,chicken fingers,linguiça na cachaça
bolinho acostelado,sangria hp,loca burguer
bolinho acostelado,sangria hp,linguiça na cachaça
bolinho acostelado,loca burguer,linguiça na cachaça
linguiça na cachaça,heineken long neck,caneca chopp lager
linguiça na cachaça,heineken long neck,bolinho acostelado
linguiça na cachaça,caneca chopp lager,bolinho acostelado
heineken long neck,guacamole & nachos,chicken fingers
heineken long neck,guacamole & nachos,linguiça na cachaça
heineken long neck,guacamole & nachos,papas locas (batata)
heineken long neck,chicken fingers,linguiça na cachaça
heineken long neck,chicken fingers,papas locas (batata)
heineken long neck,linguiça na cachaça,papas locas (batata)
caneca chopp lager,loca pink,linguiça na cachaça
chicken fingers,heineken long neck,bolinho acostelado
