Item 01;preço01;item02;preço02;item03;preço03
loca burguer;37.98;coca cola ks 290ml;7.95;bolinho acostelado;34.10
bolinho acostelado;34.10;sangria hp;25.38;aperol spritz;25.98
bolinho acostelado;34.10;sangria hp;25.38;chicken fingers;25.00
bolinho acostelado;34.10;sangria hp;25.38;linguiça na cachaça;33.84
bolinho acostelado;34.10;sangria hp;25.38;loca burguer;37.98
bolinho acostelado;34.10;sangria hp;25.38;ceviche classico;41.80
bolinho acostelado;34.10;aperol spritz;25.98;chicken fingers;25.00
bolinho acostelado;34.10;aperol spritz;25.98;linguiça na cachaça;33.84
bolinho acostelado;34.10;aperol spritz;25.98;loca burguer;37.98
bolinho acostelado;34.10;aperol spritz;25.98;ceviche classico;41.80
linguiça na cachaça;33.84;caneca chopp lager;11.93;heineken long neck;11.93
linguiça na cachaça;33.84;caneca chopp lager;11.93;bolinho acostelado;34.10
linguiça na cachaça;33.84;heineken long neck;11.93;bolinho acostelado;34.10
heineken long neck;11.93;linguiça na cachaça;33.84;papas locas (batata);25.84
heineken long neck;11.93;linguiça na cachaça;33.84;chicken fingers;25.00
heineken long neck;11.93;linguiça na cachaça;33.84;guacamole & nachos;38.03
heineken long neck;11.93;papas locas (batata);25.84;chicken fingers;25.00
heineken long neck;11.93;papas locas (batata);25.84;guacamole & nachos;38.03
heineken long neck;11.93;chicken fingers;25.00;guacamole & nachos;38.03
caneca chopp lager;11.93;linguiça na cachaça;33.84;loca pink;27.91
chicken fingers;25.00;heineken long neck;11.93;bolinho acostelado;34.10
