combo;item01;valor01;item02;vaor02;valortotal
1. combo ;loca burguer;37,98;coca cola ks 290ml;7,95;45,93
1. combo ;bolinho acostelado;34,1;coca cola ks 290ml;7,95;42,05
2. combo;bolinho acostelado;34,1;sangria hp;25,38;59,48
2. combo;linguiça na cachaça;33,84;aperol spritz;25,98;59,82
2. combo;bolinho acostelado;34,1;aperol spritz;25,98;60,08
2. combo;linguiça na cachaça;33,84;sangria hp;25,38;59,22
3. combo;bolinho acostelado;34,1;caneca chopp lager;11,93;46,03
3. combo;linguiça na cachaça;33,84;heineken long neck;11,93;45,77
3. combo;bolinho acostelado;34,1;caneca chopp lager;11,93;46,03
3. combo;linguiça na cachaça;33,84;heineken long neck;11,93;45,77
4. combo;chicken fingers;25;caneca chopp lager;11,93;36,93
4. combo;papas locas (batata);25,84;heineken long neck;11,93;37,77
4. combo;chicken fingers;25;caneca chopp lager;11,93;36,93
4. combo;papas locas (batata);25,84;heineken long neck;11,93;37,77
5. combo;chicken fingers;25;sangria hp;25,38;50,38
5. combo;chicken fingers;25;aperol spritz;25,98;50,98
6. Combo;ceviche classico;41,8;sangria hp;25,38;67,18
6. Combo;ceviche classico;41,8;aperol spritz;25,98;67,78
7. combo;loca burguer;37,98;sangria hp;25,38;63,36
7. combo;loca burguer;37,98;aperol spritz;25,98;63,96
